shard,sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
inference_shard_00,100,21,null_metric,False,polynomial_ridge,0.01,0.0002732776905395,-0.0028383277045878,False,False
inference_shard_00,100,21,null_metric,False,polynomial_ridge_interactions,0.045,-0.000561367524594,-0.0018971205108464,False,False
inference_shard_00,100,21,nonlinear_proxy,False,polynomial_ridge,0.015,0.0009321357353107,-0.0012476724822435,False,False
inference_shard_00,100,21,nonlinear_proxy,False,polynomial_ridge_interactions,0.355,0.0006404686922909,-3.0111881434244092e-05,False,False
inference_shard_00,100,21,heteroskedastic_null,False,polynomial_ridge,0.135,-0.0007303568416921,-0.0025267450920431,False,False
inference_shard_00,100,21,heteroskedastic_null,False,polynomial_ridge_interactions,0.06,-0.0006533227018416,-0.0017517284491064,False,False
inference_shard_00,100,21,clustered_null,False,polynomial_ridge,0.385,0.000807306321109,-0.0396723755657821,False,False
inference_shard_00,100,21,clustered_null,False,polynomial_ridge_interactions,0.945,-0.0063769097847244,-0.0369072340597892,False,False
inference_shard_00,100,21,genuine_increment,True,polynomial_ridge,0.005,0.0384021242030269,0.0281772721520845,True,True
inference_shard_00,100,21,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0377924986467337,0.0275783387870289,True,True
inference_shard_00,100,22,null_metric,False,polynomial_ridge,0.65,-0.0010192007305959,-0.0031178498697579,False,False
inference_shard_00,100,22,null_metric,False,polynomial_ridge_interactions,0.69,-0.0014207381052159,-0.0023819940219584,False,False
inference_shard_00,100,22,nonlinear_proxy,False,polynomial_ridge,0.225,0.0004626397558422,-0.0015172941658274,False,False
inference_shard_00,100,22,nonlinear_proxy,False,polynomial_ridge_interactions,0.41,0.0007209906007171,-0.0003422953016874,False,False
inference_shard_00,100,22,heteroskedastic_null,False,polynomial_ridge,0.365,-0.0030400332481594,-0.0045910828825626,False,False
inference_shard_00,100,22,heteroskedastic_null,False,polynomial_ridge_interactions,0.975,-0.0005494975432878,-0.0032356248460533,False,False
