scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,predictive_support_count,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_count,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high
image,B2_training_state,interactions_d4,additive_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,interactions_d4,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,5,0.05,0.02154367915436796,0.11175046923191913
image,B2_training_state,interactions_d4,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,interactions_d4,independent_null,0.3,0.0,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,5,0.05,0.02154367915436796,0.11175046923191913
image,B2_training_state,interactions_d4,independent_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,interactions_d4,interaction_increment,0.3,0.2,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,interactions_d4,interaction_increment,0.3,0.35,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,2,0.02,0.00550196755016235,0.07001179072854388
image,B2_training_state,interactions_d4,interaction_increment,0.3,0.5,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,6,0.06,0.027786123963188192,0.1247681544589592
image,B2_training_state,interactions_d4,interaction_increment,0.8,0.2,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,2,0.02,0.00550196755016235,0.07001179072854388
image,B2_training_state,interactions_d4,interaction_increment,0.8,0.35,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,5,0.05,0.02154367915436796,0.11175046923191913
image,B2_training_state,interactions_d4,interaction_increment,0.8,0.5,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
image,B2_training_state,interactions_d4,interaction_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,interactions_d4,interaction_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,interactions_d4,nonlinear_proxy_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,interactions_d4,nonlinear_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,interactions_d6,additive_proxy_null,0.3,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,3,0.03,0.010254524024038925,0.0845193642905276
image,B2_training_state,interactions_d6,additive_proxy_null,0.8,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,4,0.04,0.01566330399154762,0.0983707143588792
image,B2_training_state,interactions_d6,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,interactions_d6,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,2,0.02,0.00550196755016235,0.07001179072854388
