protocol_id,baseline,candidate_id,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,positive_supported,supported
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,17,999,estimated,240,0.232,-0.006102436166964661,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,18,999,estimated,240,0.168,0.007592857774981514,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,19,999,estimated,240,0.519,-0.003423131421479077,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,0,999,estimated,240,0.004,0.0116868498769002,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,1,999,estimated,240,0.03,0.01149445132266292,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,2,999,estimated,240,0.032,0.009371458488651944,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,3,999,estimated,240,0.001,0.018702293907267378,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,4,999,estimated,240,0.514,0.003249802246460047,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,5,999,estimated,240,0.231,0.006729653889056011,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,6,999,estimated,240,0.001,0.017448382233547926,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,7,999,estimated,240,0.19,0.006702707849880542,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,8,999,estimated,240,0.524,0.0030005062477021643,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,9,999,estimated,240,0.005,0.01355883754703157,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,10,999,estimated,240,0.005,0.014571071871594028,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,11,999,estimated,240,0.749,0.0015357113000233583,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,12,999,estimated,240,0.027,0.010237677385602871,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,13,999,estimated,240,0.059,0.008099546779160584,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,14,999,estimated,240,0.576,-0.002742429983306044,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,15,999,estimated,240,0.014,0.011946107974911047,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,16,999,estimated,240,0.474,0.0031567632352956527,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,17,999,estimated,240,0.111,0.007204930967201361,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,18,999,estimated,240,0.057,0.00823245920458886,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.2,19,999,estimated,240,0.005,-0.015346012966748404,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,0,999,estimated,240,0.004,0.016819805661894317,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,1,999,estimated,240,0.1,0.007373354401673587,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,2,999,estimated,240,0.024,0.010808653867937995,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,3,999,estimated,240,0.001,0.014649574778878278,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,4,999,estimated,240,0.098,0.008667738779731782,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,5,999,estimated,240,0.071,0.007901355232339423,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,6,999,estimated,240,0.002,0.015039889636062205,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,7,999,estimated,240,0.003,0.017374059216270697,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,8,999,estimated,240,0.001,0.020968798419767197,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,9,999,estimated,240,0.023,0.01111356962690487,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,10,999,estimated,240,0.014,0.00953592945565838,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,11,999,estimated,240,0.004,0.014013055288547368,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,12,999,estimated,240,0.009,0.013729157353773301,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,13,999,estimated,240,0.001,0.017985212342240688,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,14,999,estimated,240,0.077,0.008898621604138877,False,False
